Year,Month,Day,Hour,Minute,Second,Millisecond,Instance,DomainInstance,Engine Coolant Temperature (degC), Engine Total Hours Of Operation(hours), Engine Speed(RPM), Engine Oil Pressure(kPa),Battery Power Input(V), Generator Average LineToLine AC RMS Voltage(V), Generator Average AC Frequency(Hz),timeStamp
2018,02,09,01,14,05,147,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.394573211669922000000,1518138845
2018,02,09,01,14,06,161,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138846
2018,02,09,01,14,07,174,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138847
2018,02,09,01,14,08,188,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138848
2018,02,09,01,14,09,202,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138849
2018,02,09,01,14,10,216,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138850
2018,02,09,01,14,11,230,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138851
2018,02,09,01,14,12,244,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,233.000000000000000000000,60.394573211669922000000,1518138852
2018,02,09,01,14,13,258,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138853
2018,02,09,01,14,14,272,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138854
2018,02,09,01,14,15,286,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,239.000000000000000000000,60.496128082275391000000,1518138855
2018,02,09,01,14,16,300,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138856
2018,02,09,01,14,17,315,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.100000381469727000000,235.000000000000000000000,60.496128082275391000000,1518138857
2018,02,09,01,14,18,329,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138858
2018,02,09,01,14,19,344,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138859
2018,02,09,01,14,20,358,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138860
2018,02,09,01,14,21,371,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138861
2018,02,09,01,14,22,386,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138862
2018,02,09,01,14,23,399,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.496128082275391000000,1518138863
2018,02,09,01,14,24,413,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.394573211669922000000,1518138864
2018,02,09,01,14,25,428,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138865
2018,02,09,01,14,26,440,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,468.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138866
2018,02,09,01,14,27,454,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.394573211669922000000,1518138867
2018,02,09,01,14,28,469,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138868
2018,02,09,01,14,29,482,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138869
2018,02,09,01,14,30,496,37,1,81.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138870
2018,02,09,01,14,31,510,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138871
2018,02,09,01,14,32,525,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138872
2018,02,09,01,14,33,539,37,1,81.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138873
2018,02,09,01,14,34,554,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.496128082275391000000,1518138874
2018,02,09,01,14,35,567,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138875
2018,02,09,01,14,36,581,37,1,81.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,468.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138876
2018,02,09,01,14,37,595,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.394573211669922000000,1518138877
2018,02,09,01,14,38,609,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138878
2018,02,09,01,14,39,624,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138879
2018,02,09,01,14,40,638,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138880
2018,02,09,01,14,41,651,37,1,81.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.100000381469727000000,234.000000000000000000000,60.394573211669922000000,1518138881
2018,02,09,01,14,42,666,37,1,81.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138882
2018,02,09,01,14,43,680,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138883
2018,02,09,01,14,44,693,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138884
2018,02,09,01,14,45,708,37,1,81.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138885
2018,02,09,01,14,46,720,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138886
2018,02,09,01,14,47,735,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138887
2018,02,09,01,14,48,748,37,1,81.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138888
2018,02,09,01,14,49,762,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138889
2018,02,09,01,14,50,776,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138890
2018,02,09,01,14,51,790,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.496128082275391000000,1518138891
2018,02,09,01,14,52,805,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138892
2018,02,09,01,14,53,819,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138893
2018,02,09,01,14,54,833,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138894
